,City,Country,Max Temp,Latitude,Longitude,Hotel Name
99,Acapulco,MX,75.02,16.8634,-99.8901,Hotel del Valle
100,Acarau,BR,79.05,-2.8856,-40.12,No hotel found
103,Nelson Bay,AU,71.65,-32.7167,152.15,No hotel found
106,Kodinar,IN,83.01,20.7903,70.7031,No hotel found
108,Bengkulu,ID,83.75,-3.8004,102.2655,Dena Hotel
109,Sinnamary,GF,76.87,5.3833,-52.95,Hôtel du fleuve
111,Tura,IN,73.65,25.5198,90.2201,No hotel found
112,Paka,MY,77.38,4.6374,103.4368,Paka Inn
115,Lethem,GY,76.69,3.3803,-59.7968,Hotel Amazonas
118,Kavaratti,IN,81.41,10.5669,72.642,No hotel found
119,Salinopolis,BR,77.58,-0.6136,-47.3561,Hotel Salinópolis
122,Puerto Ayora,EC,70.56,-0.7393,-90.3518,Hostal La Mirada De Solitario George
123,Jacareacanga,BR,72.37,-6.2222,-57.7528,Hotel São Cristovão
124,Martapura,ID,86.09,-3.4167,114.85,Q-Hotel Grand Dafam
126,Bambous Virieux,MU,80.85,-20.3428,57.7575,No hotel found
129,Luwuk,ID,82.36,-0.9516,122.7875,No hotel found
130,Chake Chake,TZ,81.77,-5.2459,39.7666,Annex Pemba Hotel
133,Na Wa,TH,73.44,17.4897,104.1006,No hotel found
135,Axim,GH,77.43,4.8699,-2.2405,Axim Beach Hotel
137,Muscat,OM,75.13,23.6139,58.5922,البطاشي
141,Buchanan,LR,77.02,5.8808,-10.0467,Phillipmena's Guesthouse
142,Carnarvon,AU,76.75,-24.8667,113.6333,No hotel found
144,Kahului,US,75.85,20.8947,-156.47,Maui Seaside Hotel
146,Port Moresby,PG,85.42,-9.4431,147.1797,The Sanctuary Hotel and Spa
148,Carutapera,BR,75.27,-1.195,-46.02,No hotel found
150,Bathsheba,BB,81.21,13.2167,-59.5167,Atlantis Hotel
165,Souillac,MU,80.98,-20.5167,57.5167,Hotel SkylineInn
169,Mapiripan,CO,71.35,2.8892,-72.1256,No hotel found
173,Faanui,PF,79.88,-16.4833,-151.75,Oa Oa Lodge
174,Sibolga,ID,84.52,1.7427,98.7792,Hotel Prima Indah
177,Sao Filipe,CV,78.76,14.8961,-24.4956,Bela Vista
181,Puerto Cabezas,NI,75.2,14.0351,-83.3888,Hotel Caribe
184,Kitgum,UG,70.45,3.2783,32.8867,Bomah Hotel
187,Poum,NC,80.96,-20.2333,164.0167,No hotel found
188,Cap Malheureux,MU,78.48,-19.9842,57.6142,Cape Garden
199,San Andres,CO,82.42,12.5847,-81.7006,Hotel Decameron Isleño
202,Teknaf,BD,78.96,20.8624,92.3058,No hotel found
203,Kaeo,NZ,74.88,-35.1,173.7833,No hotel found
209,Tadine,NC,80.33,-21.55,167.8833,No hotel found
216,Taoudenni,ML,72.01,22.6783,-3.9836,No hotel found
219,Belmonte,BR,70.36,-15.8631,-38.8828,No hotel found
221,Cam Ranh,VN,80.56,11.9214,109.1591,Khách sạn Thái Bình
229,Meulaboh,ID,74.75,4.1363,96.1285,Hotel Meuligou
230,Bonthe,SL,76.28,7.5264,-12.505,No hotel found
232,Geraldton,AU,82.81,-28.7667,114.6,Ocean Centre Hotel
234,Gizo,SB,84.0,-8.103,156.8419,Gizo Hotel
237,Ahuimanu,US,78.51,21.4447,-157.8378,No hotel found
242,Grand Gaube,MU,81.0,-20.0064,57.6608,Coco Villa
244,Panaba,MX,72.81,21.2833,-88.2667,No hotel found
245,Grand-Lahou,CI,77.58,5.1367,-5.0242,Cap Lahou
248,Tarauaca,BR,72.43,-8.1614,-70.7656,Hotel Estrela
254,Hervey Bay,AU,80.58,-25.2986,152.8535,Hervey Bay Hotel
255,Majene,ID,84.07,-3.5403,118.9707,No hotel found
256,San Policarpo,PH,83.5,12.1791,125.5072,No hotel found
259,Amargosa,BR,70.54,-13.0303,-39.6047,No hotel found
263,Muriwai Beach,NZ,70.36,-36.8167,174.45,No hotel found
264,Mecca,SA,74.05,21.4267,39.8261,Rehab Al Marwa Hotel 1
272,Weligama,LK,82.94,5.9667,80.4167,Basecamp
273,Fare,PF,80.19,-16.7,-151.0167,hôtel Maitai Lapita Village
275,Machinga,MW,74.1,-15.1685,35.3,No hotel found
279,Kalmunai,LK,80.17,7.4167,81.8167,Saji new food
283,Ternate,ID,78.75,0.8,127.4,Boulivard ternate
284,Vanimo,PG,80.31,-2.6741,141.3028,CBC Guesthouse
